Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",81.27,84,81.24,83.26,718770032,788672293
"Apr 30, 2020",85.75,88.69,81.25,81.25,1039630361,769471413
"Apr 29, 2020",82.94,86.09,82.31,85.74,956420774,811444352
"Apr 28, 2020",82.82,83,81,82.9,744465562,784504274
"Apr 27, 2020",83.95,85.19,81.2,82.8,842372386,783442659
"Apr 26, 2020",85.63,87.89,83.25,83.93,905216411,793997923
"Apr 25, 2020",81.91,86.44,81.38,85.66,862671933,810164082
"Apr 24, 2020",80.82,82.82,80.82,81.92,699996322,774659999
"Apr 23, 2020",80.7,82.25,79.64,80.7,905211135,762938668
"Apr 22, 2020",74.84,81.68,74.5,80.7,903671788,762854610
"Apr 21, 2020",74.9,75.99,73.7,74.88,758115398,707666781
"Apr 20, 2020",80.94,82.69,73.9,75.06,1005447851,709297778
"Apr 19, 2020",79.94,83.5,78.82,80.84,1008091362,763803356
"Apr 18, 2020",76.93,80.09,76.8,79.99,878844408,755551726
"Apr 17, 2020",76.06,77.59,74.89,77,759611122,727194661
"Apr 16, 2020",70.72,76.48,68.16,76.01,929231360,717760165
"Apr 15, 2020",71.99,73.58,70.16,70.72,683118901,667683676
"Apr 14, 2020",73.16,74.32,71.96,71.99,713557789,679578431
"Apr 13, 2020",75.12,75.12,70.98,73.23,822272099,691133355
"Apr 12, 2020",74.57,77.03,73.31,75.09,740225924,708585880
"Apr 11, 2020",74.42,76.98,73.37,74.56,828165943,703375511
"Apr 10, 2020",82.92,83.12,70.96,74.5,955922250,702692092
"Apr 09, 2020",75.06,83.1,74.29,82.89,960424912,781715908
"Apr 08, 2020",72.03,75.72,71.23,75.06,743872422,707708995
"Apr 07, 2020",72.39,75.54,70.7,72,711647907,678806386
"Apr 06, 2020",67.05,72.61,67.04,72.53,679611798,683599103
"Apr 05, 2020",68.75,68.83,66.14,67.06,510493896,631952340
"Apr 04, 2020",67.8,69.12,67.13,68.73,574298372,647635465
"Apr 03, 2020",67.58,69.7,66.98,67.8,570157994,638756721
"Apr 02, 2020",65.93,70.47,65.2,67.58,591293710,636517419
"Apr 01, 2020",65.15,66.02,62.59,66.02,537358330,621679669
"Mar 31, 2020",66.06,66.26,64.43,65.15,516333154,613403867
"Mar 30, 2020",61.06,66.7,60.96,66.1,585147951,622255791
"Mar 29, 2020",65.19,65.42,61.07,61.07,498397550,574489178
"Mar 28, 2020",69.23,69.23,62.86,65.11,696562609,612341874
"Mar 27, 2020",67.93,72.26,66.81,69.27,631912468,651327047
"Mar 26, 2020",67.55,68.53,66.9,67.89,545562326,638220209
"Mar 25, 2020",69.4,69.72,66.61,67.58,624452433,635257469
"Mar 24, 2020",69.96,71.09,68.02,69.41,639036031,652346032
"Mar 23, 2020",63.74,69.89,62.02,69.89,736364752,656686203
"Mar 22, 2020",71.32,73.02,63.47,63.83,730950699,599672687
"Mar 21, 2020",71.05,75.01,68.43,71.29,986049950,669620549
"Mar 20, 2020",65.83,76.09,62.55,71.04,1042135792,667135800
"Mar 19, 2020",59.78,68.9,56,65.85,1003586345,618292024
"Mar 18, 2020",44.66,59.59,44.28,59.59,773775691,559446989
"Mar 17, 2020",42.95,46.01,42.83,44.62,436624179,418806292
"Mar 16, 2020",47.47,47.55,39.61,42.95,483830041,403017030
"Mar 15, 2020",46.29,50.03,45.87,47.5,449031165,445668961
"Mar 14, 2020",50.99,51.14,45.74,46.33,476112432,434607721
"Mar 13, 2020",45.78,52.19,34.91,50.93,763167995,477649538
"Mar 12, 2020",72.09,72.33,45.53,45.53,639947953,426953327
"Mar 11, 2020",74.85,75.17,68.93,72.07,581171477,675752535
"Mar 10, 2020",73.54,75.73,72.73,74.83,630281910,701498195
"Mar 09, 2020",74.74,75.74,68.87,73.42,728171290,688172012
"Mar 08, 2020",88.32,88.32,74.7,74.82,684992535,701129164
"Mar 07, 2020",93.23,93.34,88.21,88.33,1565980271,827551393
"Mar 06, 2020",90.12,93.54,89.75,93.25,687180265,873493669
"Mar 05, 2020",86.99,92.58,86.99,90.14,657743095,844234453
"Mar 04, 2020",88.61,89.78,86.28,87.01,667762324,814772563
"Mar 03, 2020",89.74,90.35,87.73,88.59,729643777,829406097
"Mar 02, 2020",85.11,91.16,84.51,89.74,803239980,840001999
"Mar 01, 2020",85.77,89.38,83.73,85.11,765429157,796493790
"Feb 29, 2020",87.89,89.9,85.89,85.89,756043899,803708971
"Feb 28, 2020",88.79,91.73,84.33,87.9,964429503,821871716
"Feb 27, 2020",84.87,92.37,80.17,88.52,955652217,827583060
"Feb 26, 2020",96.2,96.6,80.84,84.88,939230803,793332669
"Feb 25, 2020",103.62,103.65,95.8,96.2,868833032,899023873
"Feb 24, 2020",108.17,108.56,101.4,103.6,884387173,967961157
"Feb 23, 2020",104.59,108.76,104.3,108.15,902539669,1010273474
"Feb 22, 2020",107.96,109.44,103.86,104.7,947030401,977875095
"Feb 21, 2020",105.34,109.46,104.26,107.94,978201788,1007968416
"Feb 20, 2020",106.43,107.32,101.91,105.55,946434289,985491242
"Feb 19, 2020",115.56,115.69,106.48,106.61,843777656,995162612
"Feb 18, 2020",114.45,116.38,108.31,115.64,851870268,1079346302
"Feb 17, 2020",111.47,115.5,103,114.51,978398584,1068530397
"Feb 16, 2020",121.9,123.84,104.86,111.78,935525392,1042859779
"Feb 15, 2020",132.61,132.93,119.15,121.85,890484409,1136675447
"Feb 14, 2020",131.01,133.34,128.6,132.6,858271722,1236696765
"Feb 13, 2020",133.56,136.65,128.27,130.95,1013736024,1221075986
