Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",207.9,217.63,207.78,214.22,20816320834,23725367639
"Apr 30, 2020",216.91,227.53,206.44,207.6,28089191904,22989647065
"Apr 29, 2020",198.47,218.45,198.12,216.97,26397548759,24023887081
"Apr 28, 2020",197.27,198.79,194.85,198.42,18217507467,21966890357
"Apr 27, 2020",197.48,199.55,193.45,197.22,18670194595,21832392036
"Apr 26, 2020",195.41,199.34,194.77,197.32,18335367012,21839976557
"Apr 25, 2020",189.21,196.79,188.46,195.52,18260969748,21637838417
"Apr 24, 2020",185.22,190.21,185.22,189.24,16788555028,20940434737
"Apr 23, 2020",182.62,189.09,180.34,185.03,21275740032,20472236139
"Apr 22, 2020",172.67,183.75,171.83,182.6,17994666395,20200984352
"Apr 21, 2020",172.02,175.18,170.55,172.74,16458767984,19107591182
"Apr 20, 2020",181.48,186.08,170.32,172.3,21266681335,19056520718
"Apr 19, 2020",186.86,188.1,180.12,181.61,19146038381,20084614446
"Apr 18, 2020",171.62,187.94,171.62,186.91,20160323443,20668075857
"Apr 17, 2020",172.28,174.28,169.75,171.64,16714684266,18976660194
"Apr 16, 2020",153.2,173.16,150.36,172.16,22910469236,19031693317
"Apr 15, 2020",157.57,160.71,152.8,153.29,14171753737,16943501886
"Apr 14, 2020",156.36,160.94,155.87,157.6,14723156630,17417697024
"Apr 13, 2020",160.72,160.75,151.61,156.28,16465282133,17270031992
"Apr 12, 2020",158.23,164.52,156.32,161.14,15123721386,17805206568
"Apr 11, 2020",158.54,161.17,155.3,158.22,13555089447,17479687023
"Apr 10, 2020",170.83,170.95,154.91,158.41,17980944616,17499250378
"Apr 09, 2020",172.76,172.9,167.99,170.81,14901696210,18866106818
"Apr 08, 2020",165.24,173.21,164.49,172.64,17063110836,19066388908
"Apr 07, 2020",169.15,175.2,164.2,165.1,21659346091,18231455422
"Apr 06, 2020",143.61,169.27,143.54,169.14,21636382525,18674571701
"Apr 05, 2020",145.26,146.13,142.1,143.55,11280993591,15847283514
"Apr 04, 2020",142.22,145.38,140.12,145.22,11946658257,16029973618
"Apr 03, 2020",142.11,146.9,139.62,142.09,13184603402,15682757538
"Apr 02, 2020",135.73,146.79,135.73,142.03,15322861686,15673960169
"Apr 01, 2020",133.61,135.63,129.73,135.63,12456564435,14966424710
"Mar 31, 2020",132.82,134.27,131.65,133.59,11065246317,14739376438
"Mar 30, 2020",125.58,133.91,125.29,132.9,11841123306,14661550831
"Mar 29, 2020",131.02,131.17,125.45,125.58,9938133669,13852241607
"Mar 28, 2020",134.03,134.03,126.96,130.99,12162403960,14446379743
"Mar 27, 2020",138.37,139.9,133.94,133.94,11396286629,14770071750
"Mar 26, 2020",136.19,138.83,134.89,138.36,11367261176,15255985586
"Mar 25, 2020",138.91,141.4,134.3,136.2,13433092920,15015344150
"Mar 24, 2020",135.19,141.95,133.17,138.76,14609068673,15296295171
"Mar 23, 2020",123.37,134.91,121.87,134.91,14149877968,14870079035
"Mar 22, 2020",132.85,136.15,122.91,123.32,12497707224,13590860527
"Mar 21, 2020",133.1,135.97,127.16,132.82,13684083308,14635764102
"Mar 20, 2020",136.65,150.85,122.61,132.74,18960388062,14624949757
"Mar 19, 2020",114.84,140.53,114.73,136.59,16396753275,15048018840
"Mar 18, 2020",113.86,116.02,111.74,114.84,11617854009,12650160818
"Mar 17, 2020",110.41,118.99,110.41,113.94,12087490572,12549513954
"Mar 16, 2020",125,125,105.17,110.61,15984904590,12180483053
