Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",46.71,48.6,46.71,47.79,4581731065,3089051663
"Apr 30, 2020",49.15,50.92,46.58,46.71,5724477325,3019046193
"Apr 29, 2020",46.09,49.62,46.01,49.18,5673988960,3178164249
"Apr 28, 2020",44.74,46.31,44.07,46.03,4413476561,2974099483
"Apr 27, 2020",44.68,45.42,43.89,44.71,4473729902,2888544819
"Apr 26, 2020",44.72,45.34,44.31,44.69,4687873111,2886855018
"Apr 25, 2020",44.82,45.65,44.37,44.71,4769855704,2888203931
"Apr 24, 2020",42.99,45.17,42.94,44.81,4786600723,2894063140
"Apr 23, 2020",41.88,43.37,41.43,42.94,4757478698,2772774520
"Apr 22, 2020",40.99,42.32,40.69,41.89,4029531589,2704698254
"Apr 21, 2020",40.81,41.26,40.42,41.04,3954491838,2649690810
"Apr 20, 2020",42.67,43.38,40.46,40.83,4293209435,2635710772
"Apr 19, 2020",44.35,44.51,42.6,42.63,4563334114,2751996675
"Apr 18, 2020",42.75,44.38,42.53,44.36,4508378329,2863206054
"Apr 17, 2020",42.68,43.21,42,42.75,4096625538,2758454401
"Apr 16, 2020",39.64,43.01,38.6,42.69,4985504369,2754496415
"Apr 15, 2020",41.08,41.71,39.45,39.59,3696959521,2554181141
"Apr 14, 2020",41.22,41.82,40.68,41.05,3713345006,2648383666
"Apr 13, 2020",42.5,42.5,39.96,41.2,3998289644,2657814813
"Apr 12, 2020",42.32,43.29,42.01,42.45,3639638078,2737892510
"Apr 11, 2020",42.26,42.97,41.69,42.32,3374908252,2729109196
"Apr 10, 2020",46.4,46.47,41.33,42.27,4008964133,2725609591
"Apr 09, 2020",46.35,46.58,45.17,46.38,3628019378,2990629539
"Apr 08, 2020",44.68,46.75,44.35,46.32,3831132142,2986094917
"Apr 07, 2020",44.4,47.2,44.11,44.67,4391267713,2879255750
"Apr 06, 2020",40.66,44.49,40.54,44.39,4287968687,2861077283
"Apr 05, 2020",40.69,41,39.93,40.67,3084146015,2620968039
"Apr 04, 2020",40.34,40.83,39.96,40.68,3229457622,2621009072
"Apr 03, 2020",39.89,41.08,39.68,40.36,3482692346,2600305500
"Apr 02, 2020",39.36,41.65,39.25,39.87,3985953572,2568780271
"Apr 01, 2020",39.28,39.38,37.45,39.38,3303999600,2536712327
"Mar 31, 2020",39.12,39.37,38.68,39.3,3359087002,2531157610
"Mar 30, 2020",37.26,39.32,37.26,39.14,3318334905,2520514843
"Mar 29, 2020",38.87,38.93,37.21,37.33,2683734233,2403961159
"Mar 28, 2020",38.86,39.33,37.1,38.87,3119837445,2502911913
"Mar 27, 2020",40.18,40.6,38.89,38.92,2962853270,2505504071
