Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",62.48,65.09,62.47,63.77,105952990,1118780764
"Apr 30, 2020",66.53,68.37,61.98,62.48,146714147,1096083709
"Apr 29, 2020",62.53,66.98,62.08,66.55,146559090,1167338000
"Apr 28, 2020",62.39,63.79,61.61,62.5,110007751,1096299495
"Apr 27, 2020",61.22,62.51,61.22,62.39,97849932,1094306518
"Apr 26, 2020",60.76,61.78,60.58,61.23,95013548,1073830046
"Apr 25, 2020",60.94,61.98,60.24,60.73,102455403,1064930394
"Apr 24, 2020",58.93,62.06,58.91,60.97,116367364,1069135846
"Apr 23, 2020",56.84,59.92,56.45,58.82,107540688,1031406750
"Apr 22, 2020",55.31,57.18,55.02,56.84,101247964,996524909
"Apr 21, 2020",54.98,55.63,54.47,55.38,101994360,970872439
"Apr 20, 2020",57.46,58.49,54.51,55.07,113779664,965414380
"Apr 19, 2020",57.95,58.57,57.08,57.45,108020970,1007026801
"Apr 18, 2020",56.5,58.41,56.24,57.97,114264444,1016143810
"Apr 17, 2020",56.92,57.3,56.23,56.55,110124030,991191028
"Apr 16, 2020",53.19,57.13,51.98,56.88,130989658,996940127
"Apr 15, 2020",53.8,54.96,53.13,53.15,127558965,931485769
"Apr 14, 2020",52.93,55,52.73,53.83,117293261,943324605
"Apr 13, 2020",54.12,54.14,51.32,52.95,125827600,927819099
"Apr 12, 2020",53.55,55.36,52.93,53.98,119263979,945794929
"Apr 11, 2020",53.56,54.6,52.6,53.58,98767430,938669716
"Apr 10, 2020",58.45,58.47,52.87,53.62,113198866,939255738
"Apr 09, 2020",57.56,58.76,56.46,58.5,97345360,1024661765
"Apr 08, 2020",55.94,57.89,55.58,57.55,107481975,1008024551
"Apr 07, 2020",58.46,60.01,55.37,55.93,145869304,979564397
"Apr 06, 2020",53.47,58.73,53.27,58.38,158426176,1022369895
"Apr 05, 2020",54.25,54.29,52.81,53.49,136144802,936704889
"Apr 04, 2020",52.91,54.94,52.29,54.28,158229659,950446642
