Date,Open,High,Low,Close,Volume,Market Cap
"May 01, 2020",0.212858,0.224771,0.212795,0.219248,2306876493,9671641236
"Apr 30, 2020",0.227169,0.235703,0.211577,0.212761,3145263527,9385477916
"Apr 29, 2020",0.215562,0.229627,0.213436,0.227432,3041995823,10032694258
"Apr 28, 2020",0.198046,0.218108,0.196372,0.215484,2515531348,9505616088
"Apr 27, 2020",0.1967,0.199275,0.195437,0.197978,1792695610,8733381417
"Apr 26, 2020",0.195033,0.197215,0.194504,0.196805,1692427521,8677070504
"Apr 25, 2020",0.193685,0.196545,0.19314,0.195054,1648491142,8599842766
"Apr 24, 2020",0.191876,0.196722,0.19171,0.193665,1853837706,8538612711
"Apr 23, 2020",0.187889,0.19479,0.186766,0.191711,2271111354,8452461961
"Apr 22, 2020",0.184175,0.189676,0.18312,0.18797,1783803231,8287541721
"Apr 21, 2020",0.183337,0.185644,0.182762,0.184328,1912728846,8126957533
"Apr 20, 2020",0.190821,0.1949,0.181831,0.18349,2364973860,8090006361
"Apr 19, 2020",0.195004,0.196344,0.190793,0.190859,1904866741,8414904361
"Apr 18, 2020",0.189911,0.195356,0.18982,0.194925,1918245143,8594155313
"Apr 17, 2020",0.190252,0.192006,0.187614,0.190202,1887808776,8385919739
"Apr 16, 2020",0.181254,0.191235,0.177414,0.190104,2610251456,8381628981
"Apr 15, 2020",0.18536,0.189266,0.181155,0.18127,1963736221,7989127042
"Apr 14, 2020",0.187808,0.188985,0.184262,0.185335,1889687587,8168316007
"Apr 13, 2020",0.190533,0.190533,0.181808,0.187732,2253497429,8273953308
"Apr 12, 2020",0.188229,0.193848,0.187617,0.190135,2087857417,8361929949
"Apr 11, 2020",0.187451,0.192394,0.186113,0.188063,1847482831,8270834076
"Apr 10, 2020",0.198156,0.198783,0.183706,0.187464,2105282079,8244475832
"Apr 09, 2020",0.200973,0.201336,0.195926,0.198257,1878628668,8719129423
"Apr 08, 2020",0.192137,0.201275,0.191408,0.200869,2091042647,8834009937
"Apr 07, 2020",0.195686,0.203868,0.191207,0.192093,2626151910,8448042799
"Apr 06, 2020",0.179628,0.195865,0.179359,0.195506,2529832372,8598152596
"Apr 05, 2020",0.181764,0.181996,0.177277,0.179406,1660971367,7882313124
"Apr 04, 2020",0.179612,0.1823,0.178305,0.181732,1793826153,7984528291
"Apr 03, 2020",0.178769,0.182728,0.176886,0.179467,2106869711,7884998557
"Apr 02, 2020",0.17518,0.183321,0.17431,0.17864,2352651038,7848687168
"Apr 01, 2020",0.174315,0.175323,0.169134,0.175323,2053108172,7702917454
"Mar 31, 2020",0.172134,0.177883,0.171549,0.174563,2101862050,7669550526
"Mar 30, 2020",0.163762,0.17417,0.163176,0.172171,2131319206,7564440755
"Mar 29, 2020",0.17568,0.176066,0.163225,0.163829,1996124443,7193114648
"Mar 28, 2020",0.175932,0.179475,0.167561,0.175783,2689925753,7717955718
"Mar 27, 2020",0.175003,0.186385,0.170564,0.176195,2849306896,7736067263
"Mar 26, 2020",0.16168,0.175916,0.160422,0.175019,2236102811,7684422876
"Mar 25, 2020",0.16229,0.163891,0.158634,0.161633,2096308696,7096688846
"Mar 24, 2020",0.157574,0.163493,0.156824,0.162255,2155981658,7123997865
"Mar 23, 2020",0.149929,0.157933,0.14919,0.157419,2117431211,6901653397
"Mar 22, 2020",0.158121,0.161106,0.149621,0.150214,1864979798,6585765149
"Mar 21, 2020",0.156715,0.160544,0.153647,0.158179,2068099167,6934993697
"Mar 20, 2020",0.165092,0.173812,0.149187,0.156868,2946481356,6877526045
"Mar 19, 2020",0.143159,0.170475,0.14313,0.165037,2590533670,7235640318
"Mar 18, 2020",0.144673,0.146911,0.140783,0.1431,1964626837,6273900950
"Mar 17, 2020",0.140982,0.150964,0.140982,0.144524,2134494360,6336314382
"Mar 16, 2020",0.153885,0.153885,0.13322,0.141063,2646513874,6184578517
"Mar 15, 2020",0.147293,0.16215,0.146127,0.153902,2197842519,6743672547
"Mar 14, 2020",0.15924,0.160035,0.145685,0.147292,2310448365,6454051866
"Mar 13, 2020",0.140524,0.164772,0.115093,0.159352,5160523077,6982495632
"Mar 12, 2020",0.208205,0.209124,0.139635,0.139635,3547958418,6118533337
"Mar 11, 2020",0.212293,0.213445,0.201465,0.208096,2130165442,9118339803
"Mar 10, 2020",0.209721,0.215253,0.206584,0.212235,2317233373,9299728108
"Mar 09, 2020",0.206683,0.211439,0.200741,0.209181,2796925948,9165891732
"Mar 08, 2020",0.23711,0.23711,0.206826,0.206904,2627253062,9066135755
"Mar 07, 2020",0.24397,0.244635,0.237024,0.237071,2109420975,10387966255
"Mar 06, 2020",0.23949,0.24592,0.239113,0.244088,2423236344,10695465318
"Mar 05, 2020",0.234555,0.24287,0.234555,0.239582,2299594699,10497998118
"Mar 04, 2020",0.234545,0.237961,0.231826,0.23453,2280839542,10267618515
"Mar 03, 2020",0.238669,0.238753,0.23199,0.234381,2524293730,10261064959
"Mar 02, 2020",0.228935,0.240349,0.227327,0.238747,2466061224,10452240984
"Mar 01, 2020",0.231105,0.235818,0.225707,0.228846,2086828072,10018780809
"Feb 29, 2020",0.236521,0.241962,0.231193,0.231193,2061348763,10121531623
"Feb 28, 2020",0.237111,0.243244,0.230776,0.236296,2468502732,10344935599
"Feb 27, 2020",0.231092,0.24619,0.226173,0.237116,2775673347,10373699553
"Feb 26, 2020",0.253371,0.25502,0.229383,0.230851,3273784862,10099606649
"Feb 25, 2020",0.270541,0.270824,0.253051,0.253412,2590099692,11086614590
"Feb 24, 2020",0.28259,0.283189,0.266478,0.270627,2472100400,11839763802
"Feb 23, 2020",0.275939,0.282868,0.275613,0.282711,2313819448,12368433149
"Feb 22, 2020",0.275345,0.276968,0.272305,0.275901,2190665842,12070510427
"Feb 21, 2020",0.272299,0.2779,0.270703,0.274938,2626495845,12028366232
"Feb 20, 2020",0.277138,0.281537,0.26733,0.272396,3138024579,11913164915
"Feb 19, 2020",0.297884,0.303685,0.277602,0.277602,3096501889,12140870561
"Feb 18, 2020",0.28701,0.300062,0.278746,0.297913,3719318846,13029144053
"Feb 17, 2020",0.294629,0.295218,0.271382,0.286572,3690067847,12525667661
"Feb 16, 2020",0.307265,0.318187,0.278036,0.295034,4025339058,12895529010
"Feb 15, 2020",0.335119,0.343972,0.302184,0.306236,4282439063,13385174853
"Feb 14, 2020",0.326363,0.337553,0.314526,0.334822,4476902769,14634621178
"Feb 13, 2020",0.304195,0.336142,0.303622,0.326706,6473779289,14279885278
"Feb 12, 2020",0.280272,0.307491,0.279948,0.304393,4092541037,13304586565
"Feb 11, 2020",0.273902,0.280746,0.267881,0.280141,2383677083,12244571114
"Feb 10, 2020",0.282486,0.283315,0.270231,0.27408,2403459577,11979687194
"Feb 09, 2020",0.277097,0.287235,0.276444,0.282457,2343599758,12342888604
"Feb 08, 2020",0.278878,0.280484,0.267578,0.277243,2380993304,12115026113
"Feb 07, 2020",0.282205,0.28652,0.277846,0.279284,2372731517,12204223474
"Feb 06, 2020",0.277542,0.285939,0.273494,0.282214,3079150333,12332253053
"Feb 05, 2020",0.266692,0.281039,0.266692,0.277468,3332447611,12124855856
